config,organ,dice,delta
remove_dec1_H3,gall_bladder,0.6667222632879757,0.001927735426916044
remove_dec1_H3,right_adrenal_gland,0.6666262147234614,0.0023578440484868235
remove_dec1_H3,left_adrenal_gland,0.6431458758054377,0.0016334598168725734
remove_dec1_H3,duodenum,0.6403668073095689,-0.0022756725122485832
remove_dec1_H3,esophagus,0.76159375364353,-0.004301847181100715
remove_dec1_H3,bladder,0.8232260604761137,-0.002089635032127002
remove_dec1_H4,liver,0.9281697227860128,0.00015217953959834052
remove_dec1_H4,spleen,0.9262705464896945,-0.0003384925051085341
remove_dec1_H4,right_kidney,0.9194620165329663,0.00042429881050676244
remove_dec1_H4,left_kidney,0.9262543085925157,0.0015644722658655352
remove_dec1_H4,stomach,0.8223315688085987,0.00023311961589655983
remove_dec1_H4,pancreas,0.6940360818676955,-0.006621450373204052
remove_dec1_H4,gall_bladder,0.6609655043887076,-0.0038290234723520333
remove_dec1_H4,right_adrenal_gland,0.6602127223916356,-0.004055648283338931
remove_dec1_H4,left_adrenal_gland,0.6377666934679309,-0.0037457225206342093
remove_dec1_H4,duodenum,0.6397532709835118,-0.002889208838305679
remove_dec1_H4,esophagus,0.7501152612467697,-0.015780339577860958
remove_dec1_H4,bladder,0.8261919299810468,0.0008762344728061588
